knowledge_id,genre_id,knowledge_to_genre
1188,11,belong_to
1197,11,belong_to
1204,11,belong_to
1207,11,belong_to
1208,11,belong_to
1212,11,belong_to
1213,11,belong_to
1223,11,belong_to
1224,11,belong_to
1225,11,belong_to
1226,11,belong_to
1227,11,belong_to
1230,11,belong_to
1231,11,belong_to
1232,11,belong_to
1233,11,belong_to
1236,11,belong_to
1240,11,belong_to
1245,11,belong_to
1246,11,belong_to
1247,11,belong_to
1248,11,belong_to
1249,11,belong_to
1250,11,belong_to
1251,11,belong_to
1256,11,belong_to
1257,11,belong_to
1258,11,belong_to
1259,11,belong_to
1260,11,belong_to
1261,11,belong_to
1262,11,belong_to
1263,11,belong_to
1264,11,belong_to
1267,11,belong_to
1270,11,belong_to
1272,11,belong_to
1273,11,belong_to
1275,11,belong_to
1276,11,belong_to
1278,11,belong_to
1279,11,belong_to
1282,11,belong_to
1283,11,belong_to
1284,11,belong_to
1285,11,belong_to
1288,11,belong_to
1289,11,belong_to
1290,11,belong_to
1292,11,belong_to
1293,11,belong_to
1299,11,belong_to
1301,11,belong_to
1309,11,belong_to
1310,11,belong_to
1311,11,belong_to
1313,11,belong_to
1314,11,belong_to
1316,11,belong_to
1317,11,belong_to
1318,11,belong_to
1324,11,belong_to
1332,11,belong_to
1333,11,belong_to
1334,11,belong_to
1338,11,belong_to
1343,11,belong_to
1344,11,belong_to
